<@749632385179582538>,Igor Khvala,92
<@749354891977162792>,akel1213,100
<@765174393323126815>,NIKI100 (Pokusaev),167
<@722742377936191490>,Myamsar [VAULT-TEC] YT,90
<@878523950030794812>,Amobius1.1,90
<@265561687078338562>,Evgeney Zimin,138
<@707976233568174151>,Denied (Nardoeb),111
<@484695892029472782>,Samurott,89
<@701803834003030047>,YAroslav228,133
<@477499980869795851>,Aarn,100
<@887984606484246539>,Amir228,90
<@879033795137896468>,Darak,106
<@536945554211471364>,Karas(Mikroeb),96
<@956975424649437284>,Maloy,94
<@841615382246850571>,HeitMan,85
<@439705557897838592>,Arhont Canonis o KsaydesWar,100
<@330037023798984705>,KrasniPi,94
<@368830912542277643>,Aprenit,88
<@574351728309305344>,dark sonic I Dios WOT BLITZ,114
<@560850612519043082>,Anastasiya,92
<@352730818990571521>,Mamoed,118
<@382900604915417096>,Naonik,87
<@651753068412534805>,Chesnochnyi,73
<@930929234657030206>,CarToLin,90
<@637010153983705089>,Fabian,141
<@429571599839133706>,Kant,95
<@639032147381846026>,,92
<@370997033479438337>,Pokipon,88
<@1068934483929215026>,AnimeHater,107
